Year,Fossil-fuel,Water,Wind,Nuclear
1990,4945,1267,0,0
1995,8043,1906,0,128
1996,8777.1,1879.7,0,143.4
1997,9240.7,1959.8,0,144.2
1998,9441,2080,0,141
1999,10205.4,2038.1,0,149.5
2000,11142,2224,0,167
2001,11767.5,2774.3,0,174.2
2002,13273.8,2879.7,0,251.2
2003,15803.6,2836.8,0,433.4
2004,17955.9,3535.4,0,504.7
2005,20473,3970,0,531
2006,23696,4357.9,0,548.4
2007,27229.3,4852.6,0,621.3
2008,27900.8,5851.9,0,683.9
2009,29827.8,6156.4,0,701.3
2010,33319,7222,446,739
2011,38337,6989.5,703.5,863.5
2012,38928.1,8721.1,959.8,973.9
2013,42470.1,9202.9,1412,1116.1
2014,42686.5,10643.4,1560.8,1325.4
2015,42842,11303,1858,1708
2016,44371,11934,2371,2133
